longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,noAsso
-118.43,33.96,13,1860,345,800,355,5.8864,500001,200
-119.01,36.08,31,1620,366,1154,348,1.8857,55500,201
-117.44,34.1,43,1614,400,926,349,2.075,95100,202
-120.5,37.31,36,2162,433,1048,451,2.6797,81800,203
-122,37.99,28,4035,641,1881,659,5.4607,192300,204
-117.24,32.74,44,1686,285,712,298,4.0268,298600,205
-117.96,33.98,25,1259,184,599,170,5.7407,302200,206
-118.32,34.09,34,1478,675,1976,653,2.0557,225000,207
-118.05,33.94,34,495,120,527,130,1.9453,149000,208
-122.26,37.77,52,2097,444,915,413,2.9899,228100,209
-122.32,37.94,38,2751,522,1390,489,3.7277,165100,210
-117.72,34,15,4363,690,2410,666,5.4824,179700,211
-117.38,34.14,11,10804,1493,5221,1482,5.246,161400,212
-121.64,37.85,22,1999,415,967,320,4.4583,253900,213
-118.58,34.2,35,1558,267,793,249,5.1463,220200,214
-118.34,34.05,41,2099,472,1369,465,2.7409,167100,215
-117.79,33.71,16,3114,463,1641,469,6.2162,283200,216
-118.38,33.82,35,3053,623,1311,589,5.1589,439200,217
-117.22,33.17,6,1487,362,810,322,3.625,135700,218
-120.86,37.69,5,6660,1217,3012,1087,3.0809,143600,219
-117.09,32.76,44,1139,214,470,217,3.5481,203100,220
-117.14,34.01,26,7561,1051,2909,1012,7.2972,269600,221
-122.47,37.81,45,6927,1258,4715,1165,3.4051,500001,222
-117.96,34.14,9,907,207,619,194,3.9464,179600,223
-118.27,34.07,32,1657,579,2071,598,2.1135,152500,224
-124.22,41.73,28,3003,699,1530,653,1.7038,78300,225
-122.13,38.01,48,2123,494,859,474,1.8523,144800,226
-118.06,34.07,30,2308,674,3034,691,2.3929,184400,227
-122.48,37.86,52,3914,752,1177,670,6.2113,500001,228
-117.64,34.05,32,1129,251,1378,268,3.0057,96900,229
-118.25,34.16,24,5131,1436,2690,1371,2.5668,280000,230
-118.43,35.12,8,1968,376,930,360,3.2632,99800,231
-118.32,34.13,34,1856,273,540,264,4.0833,500001,232
-118.73,34.27,23,4550,762,2301,744,4.556,205300,233
-122.23,40.32,10,2336,426,1003,368,3.0833,81300,234
-116.93,32.81,18,2447,466,1573,472,2.6429,125400,235
-117.88,33.74,31,1120,296,1718,268,2.8077,140300,236
-122.72,38.44,48,707,166,458,172,3.1797,140400,237
-117.78,33.86,16,4390,660,2146,633,6.1504,266000,238
-121.01,37.61,5,3655,696,2316,647,3.4703,129300,239
-123.22,39.15,36,1166,216,504,203,3.5938,122100,240
-117.16,32.75,19,5430,1593,2496,1484,2.9112,199100,241
-122.33,37.56,50,1975,245,644,251,10.0743,500001,242
-121.42,38.57,38,1878,338,710,342,3.7731,161400,243
-118.27,34.07,42,1175,428,1593,407,2.3438,213300,244
-117.07,32.78,22,922,240,1524,235,1.6815,218800,245
-121.83,39.74,34,3263,604,1290,594,2.575,130300,246
-121.49,38.56,42,900,239,506,231,1.2813,87500,247
-118.17,34.02,42,946,272,1191,261,2.45,132000,248
-118.18,34.04,36,1807,630,2118,669,1.55,129000,249
-118.06,33.98,50,1146,238,579,213,2.9583,172600,250
-117.97,33.75,26,3361,722,2709,648,3.9107,190700,251
-122.28,38.34,44,1066,190,416,174,3.6389,304000,252
-122.27,37.86,52,1769,372,849,365,2.6914,218800,253
-118.4,34.06,47,3652,967,1438,887,3.6964,500001,254
-122.82,38.64,29,2176,385,1117,374,3.8681,188600,255
-124.06,41.13,22,3263,799,1384,578,2.4708,119400,256
-120.5,35.03,10,10463,1756,4660,1715,3.5682,277300,257
-117.96,33.65,21,2030,318,910,311,7.8453,343300,258
-122.12,40.14,34,1950,407,1029,376,2.5197,82300,259
-120.45,34.66,7,3329,504,1462,452,4.7875,198300,260
-117.95,34.02,19,1129,258,900,228,3.875,135600,261
-118.22,34.06,34,1083,364,1132,338,2.2344,153100,262
-121.93,37.53,27,5532,973,2855,960,4.7478,243500,263
-118.04,33.93,36,1726,332,1293,310,4.3849,144100,264
-121.92,36.62,52,1410,303,578,285,2.5625,235400,265
-117.91,33.88,34,1851,291,784,290,5.2336,235600,266
-117.48,34.09,32,3170,630,2612,580,3.6394,99200,267
-117.05,32.75,43,1718,344,826,336,2.7014,133700,268
-122.22,38.1,40,2549,478,1275,494,2.9469,111600,269
-116.93,33.75,14,6027,1148,3136,1036,2.964,121500,270
-118.2,34.03,52,1754,452,1849,445,2.3716,122800,271
-122.22,37.79,49,1826,450,1201,424,2.5,136700,272
-117.66,34.11,19,3445,661,1635,580,5.0681,230500,273
-117.14,32.79,35,3578,582,1568,553,4.7813,188600,274
-117.98,35.1,4,923,166,352,135,4.5724,84500,275
-119.17,34.21,33,1039,256,1432,272,3.1103,143500,276
-122.37,37.58,43,2506,432,967,428,4.7404,500001,277
-118.48,35.61,17,4002,930,1614,731,1.6236,67300,278
-119.17,34.26,10,3654,541,1638,551,6.1885,267300,279
-117.97,33.94,35,1928,360,1056,366,4.0893,215700,280
-117.06,32.61,23,1630,362,1267,418,2.5625,131100,281
-122.08,37.68,37,848,202,314,205,2.3958,190800,282
-121.76,36.92,46,947,257,1120,264,3.4125,160700,283
-117.35,34.12,22,5640,889,3157,887,4.1581,126500,284
-117.6,33.65,4,3134,504,1599,485,6.2464,233900,285
-117.89,33.6,36,1496,247,441,203,7.8164,500001,286
-117.1,32.68,42,2013,568,1920,557,2.0724,107600,287
-124.06,40.88,12,2087,424,1603,438,2.5667,139500,288
-117.87,33.71,16,3397,686,1924,621,4.9148,155500,289
-118.37,33.96,26,138,23,100,20,4.875,175000,290
-116.97,32.83,17,6659,1402,3183,1378,2.949,117300,291
-119.56,36.08,37,766,189,639,190,1.6607,42100,292
-119.7,36.8,34,1768,303,888,314,3.8088,87700,293
-121.47,37.58,14,1594,292,887,287,4.6625,294000,294
-122.13,37.89,27,744,214,295,169,2.7411,350000,295
-117.87,34.12,33,2059,361,1073,339,4.2454,183800,296
-122.32,37.55,50,2501,433,1050,410,4.6406,500001,297
-118.43,34.17,32,3202,696,1573,621,3.4449,292900,298
-121.48,38.58,52,576,146,273,127,2.01,94300,299
-118.25,33.95,41,1576,339,1252,302,1.9798,98100,300
-121.29,38.36,17,2193,386,1148,372,4.5272,191700,301
-121.31,38.03,18,4893,1008,3036,997,2.5212,110000,302
-121.76,37.68,32,1078,207,555,197,3.1856,186900,303
-123.39,38.99,28,1416,294,812,258,3.4063,109400,304
-118.41,33.99,36,1089,234,632,215,3.6538,276100,305
-118.36,33.85,34,1086,197,509,158,6.1133,349300,306
-121.7,37.93,10,3258,612,1779,558,4.6587,152500,307
-121.93,37.3,14,6277,1742,3025,1630,4.0653,234200,308
-121.95,37.54,29,3517,645,1724,585,4.6641,248900,309
-118.96,34.23,14,15207,2924,6301,2829,3.9699,217000,310
-116.53,33.95,18,2990,648,1280,532,2.625,68200,311
-117.27,34.12,27,2896,684,1514,668,1.462,70200,312
-117.95,33.79,34,2584,408,1233,405,5.6935,218300,313
-119.28,35.5,34,1923,379,1101,351,2.4044,65800,314
-122.15,37.44,52,1400,217,522,227,4.9861,500001,315
-118.16,34.02,34,1474,511,1962,501,1.8715,139600,316
-117.09,32.76,31,2567,624,1255,582,2.5909,159100,317
-118.33,34.15,39,493,168,259,138,2.3667,17500,318
-118.48,34.01,31,2851,804,1410,782,4.0893,381500,319
-122.09,37.11,32,2637,489,1031,410,3.6474,231600,320
-117.85,33.62,13,5192,658,1865,662,15.0001,500001,321
-121.16,38.74,17,3353,463,1417,447,5.1721,237100,322
-120.6,37.34,34,1830,431,1304,415,2.1182,68900,323
-121.53,36.85,23,3359,725,1862,651,2.6719,193600,324
-122.29,37.9,52,2657,500,1131,489,4.4286,234900,325
-122.05,37.38,29,1875,340,816,350,5.4351,336500,326
-121.84,37.37,15,3315,1042,2749,1059,2.3199,140100,327
-121.9,37.45,18,4900,814,2984,758,6.6176,276200,328
-119.12,36.29,29,1638,323,942,322,2.1731,66200,329
-117.51,34.14,21,2455,381,1094,327,4.6437,191700,330
-122.25,37.47,35,3183,515,1313,487,5.9062,383200,331
-121.04,37.69,9,6333,1355,3265,1265,3.0217,160900,332
-117.38,34.07,6,1156,191,910,234,4.9091,122400,333
-118.58,34.19,15,3061,1079,2173,1078,2.85,187500,334
-117.68,34.15,4,4082,578,1996,580,6.7813,286300,335
-117.25,33.7,10,5156,941,2294,747,3.58,113400,336
-122.17,37.73,46,2163,470,925,435,3.25,177500,337
-118.3,33.97,50,2270,451,1000,412,2.1221,119400,338
-118.22,34.14,52,1388,271,735,239,3.7404,247700,339
-122.39,40.58,44,1625,392,944,347,1.5972,68900,340
-118.1,33.91,40,513,100,399,99,4.875,167600,341
-122.08,37.58,15,2576,418,1657,410,5.5218,254400,342
-118.13,34.7,34,1943,500,1078,446,1.1296,93800,343
-116.97,32.79,19,4108,1101,2971,1006,1.9893,112500,344
-122,38.99,39,1548,323,815,286,2.9489,67500,345
-122.19,37.77,42,932,254,900,263,1.8039,92300,346
-118.11,34.01,41,815,252,775,231,2.2847,190000,347
-118.05,34.17,45,2535,455,1036,437,5.0482,388900,348
-118.29,34.18,36,3120,620,1441,612,3.9041,320400,349
-121.06,36.72,23,395,70,166,52,2.2132,100000,350
-122.28,37.87,46,3022,696,1293,675,2.543,220700,351
-122.41,37.59,34,3931,622,1717,621,6.2946,450000,352
-118.01,33.95,35,1755,322,774,290,5.0861,296700,353
-122.41,37.81,31,3991,1311,2305,1201,1.8981,500001,354
-117.69,33.64,18,3783,654,1843,623,5.7559,215800,355
-118.12,34.17,52,1835,330,777,317,3.7159,315400,356
-122.02,38.26,8,2894,602,1566,572,3.6335,131600,357
-118.32,34.04,44,1008,223,544,223,2.8654,176800,358
-117.06,32.66,24,2587,491,1617,458,3.5066,133400,359
-118.32,33.8,39,1415,298,729,278,3.1648,244800,360
-117.76,33.86,14,3666,442,1400,433,10.1316,500001,361
-118.32,34.01,44,4032,913,1622,848,2.4934,165800,362
-122.3,37.77,42,2038,368,2037,355,2.6447,200000,363
-117.05,32.74,34,2178,455,1193,446,3.1719,115300,364
-118.61,34.31,4,1949,458,868,398,5.0151,285200,365
-118.02,33.91,35,1337,234,692,235,5.1155,213700,366
-121.83,37.3,16,5684,1386,4203,1318,3.1964,185800,367
-116.97,33.78,24,2680,606,1728,527,2.535,74800,368
-122.36,40.48,21,2333,514,1308,509,2.0899,74800,369
-118.43,33.99,42,2558,558,1328,541,4.875,301300,370
-117.26,32.95,34,1651,273,650,271,5.6582,500001,371
-115.54,32.79,30,752,194,733,186,1.6607,56100,372
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,373
-117.09,32.69,18,1645,430,1221,410,1.3269,108000,374
-121.35,38.46,2,6992,1132,2816,984,4.3879,144400,375
-118.23,34.1,46,2483,587,2121,553,2.2788,152900,376
-118.05,34.16,41,3320,713,1236,659,3.5694,278600,377
-121.07,38.9,52,1280,281,523,266,1.7375,122200,378
-122.53,37.93,37,1722,352,648,337,4.125,310300,379
-117.85,33.89,22,4020,655,1486,635,5.9639,262300,380
-122.06,37.63,12,6711,1374,3388,1289,3.8625,208900,381
-117.74,34.07,52,1868,316,947,328,4.2415,140100,382
-117.93,33.83,30,1561,381,1104,391,3.375,201900,383
-121.95,37.35,36,832,211,545,211,3.2813,244400,384
-118.14,33.89,33,2867,786,1774,705,2.9292,183400,385
-116.17,33.53,13,1713,512,1978,442,2.1287,58600,386
-119.08,35.39,10,6435,1040,3242,1030,5.575,132200,387
-117.68,33.47,7,4458,731,1731,704,6.126,285600,388
-122.48,37.76,50,2236,484,1171,467,4.0977,322100,389
-117.29,35.54,35,7922,1636,3431,1329,3.4145,40400,390
-117.94,33.83,20,812,192,494,172,3.25,350000,391
-117.73,34.09,30,2345,496,1897,454,2.4375,112100,392
-117.76,34.12,16,9020,1509,3575,1486,4.2415,275700,393
-122.04,38.25,38,1214,244,632,254,2.8438,94200,394
-118.84,34.22,11,3170,420,1418,432,7.5118,361900,395
-119.18,34.16,12,460,101,405,103,5.2783,167400,396
-121.7,36.55,21,3905,583,1528,586,7.6245,336600,397
-117.24,34.13,24,1203,310,594,187,1.1522,87500,398
-120.38,37.99,36,2864,603,1155,565,2.3571,113400,399